"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.343738257728905,0.585242941404533,0.380345046943704,0.654880477250316,0.452838521199839,0.0273950434553166,0,0.341589353632912,0.776807323066983,0.485100636797366,1,0.902971147698961,0.654088061590835,0.664902060519862,0,0.673185971285259,1,0.192950407240516,0.293856075039879,0.412931122056301
0.198285460197607,0.466993175500971,0.211644275163898,0.567002193055528,0.277980733877556,0,0.0578990340391253,0.218100107599593,1,0,0.484329053645391,0.833156663243162,0,0,0.49665462570923,1,0.25809093987354,0,0,0.327591788733665
0.121100226170623,0.376658627298265,0.123492585993889,0.495110482430471,0.17492107279938,0,0.0286891528103237,0.146718441386259,0.464632833860367,0.411129117289528,0.370095139699182,0,0.411172446590857,0.408755285592129,0.374526700304831,0.46242183758712,0,0,0.126039621376102,0.267879975195141
0.451523345948458,0.65282945294428,1,1,1,0.0396451643183716,0,0,0,1,0.711273126946,0.931234115520347,0.725989065152129,1,1,1,0.499285185771868,0.246432397211759,0.373341570891474,0.467403985163645
1,0.74779265505543,0,0,1,0,0,1,1,0.550520054206723,1,1,1,0.83317944916205,0.835548779709531,1,1,1,0.512770841098409,1
0.825459613019094,0.850920369375916,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0.486982618977037,0,0.541704634340951,0.717985734259321,0.602817122849638,0.0444929917749021,1,0.458970825310993,1,0.518447772748319,0.734152092090788,1,0.746611936251638,1,0.75674435574305,0,0.530430473766548,0,1,0
0.0955202482135881,0,0,0.462312509164002,0.139145654418802,0.00722126223470054,0.0207294770310371,0.121262240984889,0.396916870631022,0.396758823805958,0.321893519112931,0.711397699009159,0.36411874761472,0,0,0.419574772181239,0.141715189961226,0.0730854432954871,0,0.243134032641603
1,1,0.710752706018921,1,0.749224218531311,0,1,0,1,0,0.824665318523594,1,1,1,0,1,1,1,0.530486244536393,0
0,1,1,1,0,0,0,0,0.806350702185818,1,1,1,0.682583971295817,1,0,0.697489361285568,0,1,1,0
0,1,0,0.534681909335454,0,0,0.0422689730624079,0,0,1,0,0.800409086491425,0.47005678879341,1,0.440512833209824,1,0.216291369286271,0.10584833102998,0,0.299752827396145
0.231228482783824,0.498010388291265,0,0.590576876690814,0.31974353427154,0.0173170242036089,0.0728067804290593,0.246946658082071,0.661554548993687,0.45410386806952,0.523529850202424,0.854518230981551,0,0.561500168247884,1,0.589015162467141,0.292230189663474,0.140009767152056,0.211329872608051,0.349022029816574
