"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0,1,0.318834042451657,0.597040765863981,1,0.756201196046637,0.946151056401571,1,0.651120786351508,0.478635152305808,1,0.789858005691055,0.647464767548029,0.935767762251273,0.447986973149458,0.506092215479975,0.884326553913044,1,0.368440922229886,0.680231917846784
0,0.662381575957417,1,0.530849923584898,1,0,0.91851296828965,0.894211721114604,1,1,0.796044552532701,0.755610398402504,0,1,0.368172977227917,0.409845563734141,0.852311286117124,0.740014068493511,0.307298921626968,0.613617540341581
1,1,0,1,1,0,1,0.923149256570935,0.681055174340034,0.505467110811804,0.877037660045464,0.80035812029836,0.66055857812525,0.943145507867865,0.475152650145015,0.53811520730781,0.893487812516774,0.836161518581555,1,0.700842721832778
0,1,0.311602170872563,0.580489083360212,1,1,1,0.911469658360758,0,1,0.845547380390032,0.78151892646122,0.637250485252125,0.929503311809486,0.427315232173742,0.481440220011316,0.876829255059738,1,0.352432636956849,0.663897697712007
1,0.762170575468522,0,1,1,0.799870411482477,1,1,0.710297322051317,0,0.892662672839648,0.810720227479287,0.673746584043484,0.949884488897793,1,0.570655642226828,0.902219842216434,0.855530968511477,0.411990800641419,0.72118193254892
1,1,0.375754095768428,0.712264949438764,0.99821389221671,0.864550926783309,1,1,1,0,1,1,0.719445533286741,0.968565697297792,1,0.682418843972406,1,1,0.495621135566735,0.787733159143336
1,0.771490717999172,0,0.650504954759635,0.996451347402512,1,1,0.932281534939081,0.724951939468354,0.547297941678585,0.900123788155954,0.81597681496127,1,0.95310287594251,0.517861326719146,0.587463739160982,0.906530896632277,0.864887344349594,0.423801760631697,0.731481995861687
0,0,0.204433228813347,1,1,0,0.70084134141232,0.768424668721022,0,0.173330974881629,0.439672782990811,0.607677858064865,0.453158467951955,0.709507920967204,0.152854274162589,0.14916093912754,0.68083926193695,0,0.144056176033644,0.360799866800823
0,0,0.230106234342492,0,1,1,1,0.817816264474737,0,0.233237943340487,0.568553650232922,0.659470745303213,0.503152387981156,0.792980107038452,0,0,1,0.498623109202311,0.187128449451054,0.440879046312333
0,1,0.250279982771587,0,1,1,0.849488598013665,0.848488068090921,0,0,1,0.69517488425921,0.539759828737468,0,0.258028695426482,0.274736896248037,0.788290313399587,1,0.224518022486997,0.501769716723606
0.497726156584042,1,0.337764648039168,1,0.99596998930365,1,0.959094307106752,1,0.708706782245893,1,0,0.810152660628427,0.673017154783,1,0.501619823831779,1,0.901749571474588,0.854501575655375,0.410736400333593,0.720068817549127
0.531855156366545,1,0,1,1,0.826810785328725,1,1,1,0.570673672089096,1,0.824372987619878,0,1,0.541912382796282,0.614646164702584,0.91324951289508,1,0.443406574786364,0.747885138188623
0.325177696829275,0,0,0,0.978872643218136,0.599446760731678,1,0.868836643200114,1,0,0.719804782980875,0.720823814445907,0.567290741039881,0.872403890609289,0.300333017307513,0.326620374591829,0.816583837093198,0.654973979663822,0.256264633367299,1
0,0.623000591747639,0,0.491550866814729,0.982984171887227,0.629871840115934,1,0.878711636258997,0.494470574216423,0.354176249230411,1,0.73395163684383,1,0,1,0.35625857163708,0.830434263410526,0.687789655647148,0.27435696778474,0.572470520824267
1,0.39226082787495,0.199282929553024,0.289918628380017,0,0.336197065173578,1,1,0,0,0.41285451091709,0.596355405481768,1,0.68950178618683,0.142761191598534,0.137605824840961,0,0.351187616477531,0.136076109465407,0.344654071026596
1,0,0.32678961923592,1,1,1,1,1,0.676197621427205,0.501026904990498,0.87434374872868,0.798648881809945,0.658408983313563,0.941982655880834,0.470644682958192,0.532832902688764,0.89201786844597,0.832851567078677,0.386163204660309,0.697486248614792
0,1,0,0,0.991034602821327,1,0.931239047043723,0.904111170380082,1,0,0.824798924359311,0.770215285534196,1,0.920423621269588,0.400572646864847,0.449237377002575,0.866357948108186,1,0.331917260179907,0.641852949657141
0.100025900999453,0,0,0.177078943752409,0,0.170679537777749,0.422939452934742,0.624289903568139,0,0,0.193238682915858,0.481583582505914,0.34369226061836,0.465819158880217,0.0704680506510846,0,0.505375122924826,0.160195316733174,0.0759347994060445,0.207997651345806
1,0.722755949464426,1,0,0.993727975198257,0.753867994256066,0.945393389082637,0.916055754279227,1,0.475933983102063,0.858144937873381,1,0,0.934976227686459,0.445262335406873,0.502856213567329,0.883365774308431,0.813122997338735,0.366322649469074,0.678112313655725
