"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.327265500634128,0.602580026488678,0.286357327910643,1,1,0,0.888422244707302,0.891453252798073,0.500004463902532,0.332103022783462,0.749986717693719,0.775156657731106,0.592708029159096,0.891255128969858,0.341638281558958,0.295464863144198,0.814118870752688,0.709265405553308,0.254814928202824,0.56381497252509
0,0.51659065722121,0.262956806113352,0,1,0.546689359079075,0.835818390041628,0.848201397989262,0.390334691576406,0.238631518698256,0.656029488418579,0.719223296902119,0.551549087161238,0.840153817329095,0.262726047081195,0.204437658050881,0.771720023221264,0.599434195694536,0.187281240336606,0.494760848349118
1,0.841580780479978,0.379428570464927,1,1,0.869027183760149,0.975344306728707,1,0.831764871347087,0.722186933106049,0.938294138942678,0.909065001267988,0.726738230892626,0.975774119739057,0.66619201316532,0.708151870136482,0.917212658586803,0.933599099481273,1,0.777581250110618
0.504953771645343,0.774175042129634,1,1,0.995016565653701,0.806383753765825,1,0.952742265813184,0.738829031312807,0.593276647126814,0.896103847941787,0.873289964317416,0.682979791253101,0.958497162779187,0.55489121017757,0.567877923555042,1,0.884061910571709,0.461893449018117,0.711781057160293
1,0.732642862733478,0,0.597650622031714,1,0.766481811912225,1,0.940317823261525,0.680139839835948,0.52050688833067,0.86584693002159,1,0.659214063829153,0.945586716414979,1,0,0.871588900573333,0.847948652854104,0.400017410179207,0.673997572411619
1,1,1,1,1,1,1,1,0.831249312707812,0.721422183496799,0.938077397639527,0.90886215820243,0.726462431513593,1,0.665501932616615,1,1,0.933348652176188,0,0.777184780638351
1,1,0.345898744614655,0.645132638457126,1,0.80736367807184,0.957926022486395,0.95303454189768,0.740281100686409,0.595157951591838,0.896814531661834,0.873844621830124,0.683595307203744,0.958794908636316,0.5564600269147,0.569908752347477,0.88945996011,0.88490606893735,0.463552287010967,0.712742944529505
0,0,0,0.28742161579468,0.891240946544521,0.404048444077075,1,0.754783368589501,0.24299268181497,0,0.486109753160691,0,0.486613400828652,0.725422962228835,0.1660644207981,0.107440672654323,0.693622364990074,0.41251531451098,0.111167985634742,0.389170649100527
0.251072198819794,0.501494794051474,0,0,0.952735097135505,0.5307298436276,1,0.839439784080586,0.37217334137065,0,0.638174054419592,0.70874980412919,0.544353398819446,0.829581274229474,0.25035009328778,0.191025439182521,0.763747370157291,0.579012546044746,0.177128601411699,0.482783246018151
0,1,0,0.576062160822081,1,1,0.937136771770386,0.933741364465197,0.651411192483683,0.487101073308353,0.849864893136688,1,0.648182855722673,0.938573199039971,0.467787698961693,0.454565261182504,1,0.828785114831699,0.372918779976473,0.65608751470761
