"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.456083999718115,0.731414389446257,0.328379459321903,1,1,0,0.940615953185837,1,1,0.489810881892702,1,1,0.640014057331532,0.947415262364872,0.435515614177492,0.449668020047598,1,0.805115823711862,0.420664278887674,0.655445433032271
0.425130458595621,1,1,0,0.995011221687253,0.735003907137312,0.930066239853101,0.90961685568367,0.597219799632153,1,0.815636279840725,0.804637203599432,0,1,1,0,0.890298977355396,0.779105148965992,0.385228159892576,0.633659670910954
1,1,0.294521363800714,0.523885405386465,1,0.687595123956673,0.90980726746062,0.895320161315013,0,0.39059900196317,1,0.777776137097293,0,1,0.374255658101541,0,1,0.7331010770439,0.331711009769567,0.598096877733885
0.537090747620116,1,0.364172891339944,1,1,1,0.961371691617009,0.935703629772049,0.713999273753903,0.589970831307573,0.886260782402547,0.856259580617208,1,0.966866890969858,0.498900082763599,0.574656979935387,0.930063847779147,0.861443079168531,0.515221012575011,0.708669785353492
1,0.656975631250186,0,1,1,0,0.907989310118101,1,0.536393141589998,0,0.771630964537643,0.775533379845358,0.600887737041804,0.915780381995101,0.371358722689029,0.325496870305141,0.865139332518419,1,0.327620533381362,0.595221817475218
1,1,1,0.771870175752615,0.999552551465117,0.898361013911841,0.981531163420313,1,1,0.739457828685506,0.939252857989314,0.903026915874685,0.731208042155326,0.984978484512557,0.604367947034457,1,0.960287185332889,0.925088809362205,0.668296870360207,1
1,1,0.443032675255764,1,0.999672664215758,0.911262809735397,0.984515822756479,0.96194173812358,0.844838082580318,1,0.947862325132379,1,0.743408626796288,0.987561981841741,0.628287362931889,1,0.965339028682417,0.93558218974833,1,0.802071672979829
0.175609658053621,0,0,1,0.90681786269073,0,1,0,0.260018825007201,0.148305216402878,0,0.597657747711843,0.476395365006926,0.701961142845035,0,0.0891629751008497,1,0.424071436805762,0,0.402668837188774
0.239591197814005,0.497194524098928,0.232827448081048,0,1,0.506748915099188,1,1,0,0.220932148370211,0.602233691935625,0,0.524204341367723,0.808131992865549,0,0.152165722548064,1,0.54652058166444,0.187212465580284,0.475523137765443
0.198176778542098,1,0,0,0.933148956185928,1,0.743214818716026,0.803992808995818,0,0,0.527377486259968,0.626566803821245,0.494546778895651,0,0,0,1,0.470289241152887,0.147663168463134,0.430009200996049
1,0.767170937201187,0,1,1,1,1,1,0.679667827016838,0.547029112534248,0,1,0.660485261496161,0.9594862655463,1,1,0.919346086638212,0.838940335479679,0.474017001285447,0
0.577085052097535,1,0.382658407332792,1,0.998867268647136,1,1,0.943246532835313,0.750727644683926,0.637817984563141,0.90524708068759,1,0.692851789495053,0.973771938270519,0.530696071666097,0.634604368000728,1,0.884060459802899,0.562459485987716,1
0.369879541280501,0.653106866797504,0.291259856660849,0,1,1,0.906048131288066,1,1,0,1,1,1,0.913866387261314,0,0,1,0.725065898761449,0.323360160933478,0.592200672463108
0,0,0.231041744856118,0,0.959896354800107,1,1,1,0.350500484201696,0.21655170173238,0.596023404129097,0.668100700403612,1,0.803350425594206,0.260369303689486,0.148100841795809,0,0.540095361011115,0.183567757531884,0.471639856777592
1,1,0,0.285056179107487,0,0,1,1,0,0.143136921053619,0.470262215383399,0.591074390348242,0.472332849801211,0.691505962941949,0.204009925786208,0.0850597731207545,0.66650946384581,0.413860892811191,0.122763622752464,0
