"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.467256069678934,0.739881784356939,0.331533533417317,1,1,0,0.938289146030618,1,1,0.516767791153972,1,1,0.660107310654602,0.942054307241137,0.451894612073222,0.485314346388532,1,0.828009211462155,0.409398114068325,0.672118219717135
0.424184212895108,0.706050527495513,1,0,0.992163030069409,0.727448174114995,0.924986681557725,0.913564460284211,0.598372060099917,1,0.812021556339145,0.808110535588173,0,1,1,0,0.888258206683282,1,0.365575843271608,0.639728147531885
1,0.632389005719876,0.283750547262788,0.494813978684408,1,0.654466818241234,0.890760743623963,0.890204965874789,0,0.357117290249898,1,0.760284293960458,0,1,0.347679705054182,0,1,0.703843801220603,0.28575969660257,0.57216417831332
0.53448299860252,1,0.357864797466479,0.673562180647304,1,1,0.95456561796099,0.93699985902102,0.703600879471406,0.600382384923159,0.877893603909655,0.858526640575406,1,0.958171950933817,0.508349494264539,0.577999783440576,0.925372711373243,0.874129451668974,0.479714297110601,1
0.363481563436625,0.652369135023794,0.291715382745226,0.516020659308097,1,0,0.900815268031801,1,0.532795363932318,0,0.763299301194398,0.773491284776744,1,0.903973896209866,1,0.342175938938241,0.860316422967544,1,0.305552902198545,0.590145658773984
0.659213073151736,0.859592507510685,1,0.771614262577395,0.998906381793816,0.874690378042738,0.97518943274477,1,1,0.743746790579505,0.929001651909505,0.903133417582476,0.748222954993322,0.978025063259806,1,1,0.954362964827129,0.933865425738743,0.615702811048042,1
1,0.854401423335426,0.40668171084717,1,0.998804145268799,0.86984117439694,0.973887348156984,0.955529063781609,0.796761576060993,1,0.925619975726282,1,0.743768634434427,0.976796588673736,0,1,0.952417160615091,0.930096653314617,1,0.791310545248307
0.163883842325671,0,0,1,0.893871251454282,0,1,0,0.270699082831401,0.138903466540233,0,0.586090780199184,0.464531884556171,0.706960796686281,0,0.105654029899379,1,0.385329317959774,0,0.373880939783524
0.183453756358007,0.431779915430356,0.215685847644577,0,1,0.449963952359271,1,1,0,0.160820675695476,0.524977269756908,0,0.482830314437582,0.741628944198307,0,0.124911387663867,1,0,0.140749031808658,0.400529806802119
0.20266208133825,1,0.22486064055795,0.331573392124128,0.934798529422681,0.480522240473226,0.774576691789108,0.823298060810032,0,0,0.560115458491011,0.636860205433594,0.499412709002056,0,0,0,1,0.471669146225449,0.157308485906602,1
1,0.738262308943409,0,1,1,1,1,1,0.639389290697751,0.514035843495286,0,1,0.659060938904524,0.941449101916583,1,1,0.903713099704875,0.826323909246039,0,0
0.588882860642564,1,0.380161057203814,1,0.997979094055233,1,1,0.946333815575921,0.74963962216097,0.665139283215786,0.902609342802869,1,0.716583332994738,0.968111410028094,0.554623034105226,0.650490189919902,1,0.903689161518828,0.538203480792546,1
0.349419742147754,0.638775735487402,0.286261081287455,0,1,1,0.89404113900638,0.892327379313899,1,0,1,1,1,0.896981158339281,0,0,1,0.711848362832587,0.291950388814225,0.577887190091019
0.326939954080772,0.61601933731442,0.277456106499724,0,0.981811535518991,1,1,0.884668609938221,0.490391180807484,0.336528348455317,0.728127719868316,0.74931344649761,1,0.884546130894653,0.334077898603896,0.293620534613962,0,1,0.270448479379646,0.557595853065453
1,1,0,0.305397219828737,0,0.448917301433719,1,1,0,0.160098364460824,0.523761133935059,0.612229415095412,0.4822599023023,0.740591281302469,0.207243522217184,0.124269186030893,0.706624783900673,0.428718885341342,0,0
